Title,Genre,Tags,cast,Rating,type
Crash Landing on You,"Comedy, Romance","TV Comedies,Korean TV Shows,Romantic TV Comedies,TV Dramas,Romantic TV Dramas,Romantic Favorites","Son Ye-Jin, Kim Jung-Hyun, Seo Ji-Hye, Hyun Bin",8.7,Series
Princess Hours,"Drama, Romance","Thai TV Shows,TV Shows Based on Comics,Romantic TV Comedies,Teen TV Shows,Teen Romance,TV Comedies",Phan Pagniez,7.0,Series
Kiss Me,"Short, Comedy, Drama, Romance","Thai TV Shows,TV Shows Based on Comics,TV Comedies,Teen Romance,Teen TV Shows,Romantic TV Comedies","Nicholas Denton, Lara Gissing, Grace Lowry",6.9,Series
Secret Garden,"Comedy, Drama, Fantasy, Romance","Fantasy TV Shows,Romantic Fantasy TV,Thai TV Shows,TV Dramas,Romantic TV Dramas","Yoon Sang-Hyun, Sa-rang Kim, Hyun Bin, Ha Ji-Won",8.2,Series
Weekly Idol,"Game-Show, Talk-Show","TV Comedies,Talk Shows,Korean Reality, Variety & Talk Shows,Variety Entertainment,Reality, Variety & Talk Shows","Defconn, Hyeong-don Jeong",7.8,Series
The Promised Neverland,"Animation, Adventure, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","Sci-Fi & Fantasy Anime,TV Thrillers,Mystery & Thriller Anime,Anime Based on Comics,Anime Series,Japanese TV Shows,Shounen Anime,TV Shows Based on Manga,Fantasy Anime,TV Shows Based on Comics","Mariya Ise, Lynn, Shinei Ueki, Sumire Morohoshi",8.7,Series
Preso No. 1,"Action, Crime, Drama, Thriller","Mexican TV Shows,TV Dramas,Latin American TV Shows,Political TV Shows,TV Thrillers","Erik Hayser, Jimena Bilsup, Alejandra Ambrosi, Paulina Matos",7.2,Series
Three Days of Christmas,Drama,"TV Dramas,Spanish TV Shows","Victoria Abril, Jay Britton, Alicia Borrachero, Carla Tous",6.8,Series
Virgin River,"Drama, Romance","TV Dramas,Romantic TV Dramas,US TV Shows,TV Shows Based on Books","Colin Lawrence, Martin Henderson, Lauren Hammersley, Alexandra Breckenridge",7.5,Series
Triad Princess,"Adventure, Drama","TV Dramas,TV Comedies,Chinese TV Shows,Taiwanese TV Shows,Romantic TV Comedies,Romantic TV Dramas,Crime TV Dramas","Olivia Castanho, Cecilia Choi, Sing Hom, Dylan J. Locke",7.0,Series
The Confession Killer,"Documentary, Crime","US TV Shows,Docuseries,Crime Documentaries,True Crime Documentaries","Phil Ryan, Nan Cuba, Hugh Aynesworth, Bob Prince",7.4,Series
Glow Up,Reality-TV,"Competition Reality TV,Reality, Variety & Talk Shows,British TV Shows,Reality TV","Dominic C. Skinner, Val Garland, Stacey Dooley",6.7,Series
Home for Christmas,"Comedy, Drama, Romance","Scandinavian TV Shows,Romantic TV Comedies,TV Comedies","Dennis Storhøi, Ida Elise Broch, Gabrielle Leithaug, Hege Schøyen",7.7,Series
V Wars,"Drama, Horror, Sci-Fi","TV Dramas,Political TV Shows,TV Horror,US TV Shows,TV Thrillers,TV Action & Adventure,TV Shows Based on Comics,Sci-Fi TV","Kyle Breitkopf, Jacky Lai, Ian Somerhalder, Adrian Holmes",6.1,Series
The Road to Love,Drama,"TV Comedies,Romantic TV Comedies,TV Dramas,Latin American TV Shows,Romantic TV Dramas,Romantic TV Soaps,TV Soaps,Colombian TV Shows","Sihem Benamoune, Zakariya Gouram, Karim Tarek, Riyad Echahi",6.6,Series
The Repair Shop,"Documentary, Reality-TV","Lifestyle,Reality TV,British TV Shows","Bill Paterson, Steven Fletcher, Jay Blades, William Kirk",8.7,Series
Animanimals,Animation,"British TV Shows,Kids TV,TV Comedies",,7.6,Series
Magic Kaito 1412,"Animation, Adventure, Comedy, Crime","Japanese TV Shows,Anime Series,TV Shows Based on Manga,Kids TV","Michio Hazama, Unshô Ishizuka, Kappei Yamaguchi, Mao Ichimichi",7.5,Series
O Grande Gonzalez,"Comedy, Crime, Mystery","Latin American TV Shows,TV Comedies,Brazilian TV Shows","Antonio Tabet, Gregório Duvivier, Fábio Porchat, Luis Lobianco",7.1,Series
StoryZoo,Animation,"Kids TV,Dutch TV Shows","Emma Dingwall, Simon Zwiers, Nola Klop",7.7,Series
Chocolate,Romance,"TV Dramas,Romantic TV Dramas,Korean TV Shows","Lacey Chabert, Will Kemp, Brittany Bristow, Guillaume Dolmans",6.8,Series
Sugar Rush Christmas,Reality-TV,"Food & Travel TV,US TV Shows,Family Watch Together TV,Competition Reality TV,Reality TV,Reality, Variety & Talk Shows","Hunter March, Adriano Zumbo, Candace Nelson",6.9,Series
The Movies That Made Us,Documentary,"US TV Shows,Docuseries","Richard Edlund, Donald Ian Black, William Atherton, Jennifer Julian",7.8,Series
Mythomaniac,Drama,"TV Comedies,TV Dramas,French TV Shows","Marina Hands, Jérémy Gillet, Marie Drion, Mathieu Demy",6.8,Series
Levius,"Animation, Action, Sci-Fi","Sci-Fi & Fantasy Anime,Japanese TV Shows,Seinen Anime,Action Anime,Drama Anime,TV Shows Based on Manga,Anime Series","Todd Haberkorn, Julia McIlvaine, Zach Aguilar, Sean Burgos",7.0,Series
Legal High,"Comedy, Drama","TV Comedies,K-dramas,TV Dramas,Korean Programmes,Social Issue TV Dramas","Bak Yoon, Jin Goo, Jeong-an Chae, Eun-Su Seo",7.2,Series
Moment of Eighteen,"Drama, Romance","K-dramas,Romantic TV Dramas,Teen Romance,TV Dramas,Romantic TV Comedies,Teen TV Shows,TV Comedies,Korean Programmes,Social Issue TV Dramas","Seong-wu Ong, Seung-Ho Shin, Kang Ki-Young, Hyang-gi Kim",7.7,Series
Be Melodramatic,"Comedy, Romance","K-dramas,Romantic TV Comedies,TV Comedies,Korean Programmes","Jae-hong Ahn, Han Ji-Eun, Woo-hee Chun, Yeo-bin Jeon",8.1,Series
The Wind Blows,Drama,"K-dramas,Romantic TV Dramas,TV Dramas,Korean Programmes","Ha-neul Kim, Woo-seong Kam",7.7,Series
The Light in Your Eyes,"Comedy, Drama, Fantasy, Romance","TV Dramas,K-dramas,Romantic TV Dramas,Romantic Favorites,Korean Programmes","Hye-ja Kim, Ho Joon Son, Nam Joo-Hyuk, Han Ji-min",8.0,Series
Flower Crew:Joseon Marriage,"Comedy, History, Romance","TV Comedies,TV Dramas,Romantic TV Comedies,Period Pieces,K-dramas,Romantic TV Dramas,Korean Programmes","Min-Jae Kim, Seo Ji-Hoon, Gong Seung-Yeon, Ji-Hoon Park",6.9,Series
Beautiful World,"Drama, Mystery","TV Dramas,K-dramas,Korean Programmes","Ja-Hyeon Chu, Oh Man-Seok, Hee-soon Park, Yeo-jeong Cho",8.4,Series
Dino Girl Gauko,"Animation, Comedy, Family, Fantasy, Sci-Fi","Anime Series,Kids TV,Japanese TV Shows,Comedy Anime","Laura Post, Naoko Matsui, Corina Boettger, Ben Diskin",6.9,Series
Narcoworld: Dope Stories,"Documentary, Crime","Docuseries,US TV Shows",Michael Beach,6.6,Series
Dolly Partons Heartstrings,"Comedy, Drama, Music, Musical","Family Watch Together TV,TV Dramas,US TV Shows",Dolly Parton,7.6,Series
Mortel,"Horror, Sci-Fi","TV Dramas,Teen Sci-Fi,Crime TV Dramas,Fantasy TV Shows,French TV Shows,Teen TV Shows","Manon Bresch, Carl Malapa, Némo Schiffman, Corentin Fila",6.6,Series
Who Killed Little Gregory?,"Documentary, Crime","French TV Shows,Crime Documentaries,Docuseries,True Crime Documentaries","James Simenc, Peter James Smith, Page Leong, William Salyers",7.4,Series
The Club,"Comedy, Drama, Mystery","Latin American TV Shows,TV Comedies,TV Dramas,Mexican TV Shows,Crime TV Dramas","Alfredo Castro, Marcelo Alonso, Roberto Farías, Antonia Zegers",7.2,Series
Im with the Band: Nasty Cherry,"Action, Adventure, Fantasy, Sci-Fi","Reality, Variety & Talk Shows,Music and Concert Movies,Reality TV,US TV Shows,Music & Musicals","Ewan McGregor, Natalie Portman, Jake Lloyd, Liam Neeson",6.5,Series
ZombieLars,"Comedy, Drama, Fantasy","Kids TV,Scandinavian TV Shows,TV Comedies,TV Dramas","Hannah Raanes-Holm, Helena F. Ødven, Leonard Valestrand Eike, Dat Gia Hoang",7.6,Series
Maradona in Mexico,"Documentary, Comedy, Drama, Sport","Biographical Documentaries,US TV Shows,Social & Cultural Docs,Sports Documentaries,Docuseries,Documentaries,Sports & Fitness,Soccer Non-fiction","Jarrod Pistilli, Vanessa Nicole Hill",7.2,Series
Go Go Squid,"Drama, Romance","Mainland Chinese TV Shows,Romantic TV Dramas,Chinese TV Shows,Teen Romance,TV Dramas,Teen TV Shows,TV Shows Based on Books","Zi Yang, Xian Li, Yifan Wen, Mingde Li",7.7,Series
Put Your Head on My Shoulder,"Comedy, Romance","Teen TV Shows,TV Shows Based on Books,Teen Romance,Chinese TV Shows","Lin Yi, Xing Fei",7.9,Series
Green Eggs and Ham,"Animation, Adventure, Comedy, Family","TV Shows Based on Books,TV Cartoons,Kids TV,TV Comedies,TV Action & Adventure,Family Watch Together TV","Michael Douglas, Ilana Glazer, Jillian Bell, Adam Devine",8.2,Series
Greatest Events of WWII in Colour,"Documentary, History, War","Military Documentaries,Historical Documentaries,British TV Shows,Documentaries,Docuseries,Political Documentaries,Political TV Shows","Geoffrey Wawro, Derek Jacobi, James Holland",8.7,Series
Voice,"Biography, Drama","TV Thrillers,Thai TV Shows,TV Dramas,Crime TV Dramas","Annabelle Wallis, Sienna Miller, Russell Crowe, Seth MacFarlane",7.9,Series
The Devil Next Door,"Documentary, Crime","Social & Cultural Docs,US TV Shows,Documentaries,Crime Docuseries,Crime Documentaries,Docuseries","Eli Gabay, Michael Shaked, Yoram Sheftel, Eli Rosenbaum",7.6,Series
Meet the Adebanjos,Comedy,"TV Comedies,British TV Shows,Sitcoms,Family Watch Together TV",Daniel Davids,7.5,Series
The Boulet Brothers Dragula,Reality-TV,"Competition Reality TV,Reality TV","The Boulet Brothers, Antonio Yee",7.8,Series
Billy on the Street,"Comedy, Game-Show, Reality-TV","Competition Reality TV,Reality TV,TV Comedies",Billy Eichner,7.7,Series
Maid-Sama!,"Animation, Comedy, Romance","Japanese TV Shows,School Anime,TV Shows Based on Manga,Anime Series,Romance Anime,Comedy Anime,Shoujo Anime","Monica Rial, Ayumi Fujimura, David Matranga, Nobuhiko Okamoto",8.0,Series
Vientos de agua,Drama,"Argentinian TV Shows,Social Issue TV Dramas,Latin American TV Shows,TV Dramas","Darío Valenzuela, Héctor Alterio, Eduardo Blanco, Ernesto Alterio",8.8,Series
Queer Eye: Were in Japan!,Reality-TV,"Reality TV,Makeover Reality TV,Japanese TV Shows,Lifestyle,Reality, Variety & Talk Shows","Tan France, Karamo Brown, Bobby Berk, Antoni Porowski",8.2,Series
Hello Ninja,"Animation, Action, Adventure, Comedy, Family, Fantasy","TV Shows Based on Books,Canadian TV Shows,TV Cartoons,Kids TV","Lukas Engel, Jay Britton, Mayumi Yoshida",6.6,Series
Ejen Ali,"Animation, Action, Sci-Fi","Kids TV,TV Cartoons,Futuristic Sci-Fi,Malaysian TV Shows","Shafiq Isa, Azman Zulkiply, Ida Rahayu, Noorhayati Maslini",8.3,Series
"Bring It On, Ghost","Comedy, Fantasy, Romance","TV Comedies,TV Horror,Korean TV Shows,Romantic TV Comedies,K-dramas based on Webtoon","Lee Da-wit, Kang Ki-Young, Kim So-Hyun, Taecyeon",7.7,Series
Tomorrow with You,"Fantasy, Romance","Romantic TV Dramas,Korean TV Shows,TV Dramas","Lee Jehoon, Shin Min-a",7.5,Series
Tunnel,Drama,"TV Dramas,Crime TV Dramas,TV Thrillers,TV Mysteries,Thai TV Shows","Anna Bankina, Stoyan Anov, Vasil Asenov, Vessy Boneva",7.9,Series
Shine On with Reese,"Documentary, Reality-TV","Documentaries,Docuseries,US TV Shows",Reese Witherspoon,7.7,Series
"Wait, My Youth",Romance,"Teen TV Shows,Chinese TV Shows,Teen Romance,Mainland Chinese TV Shows","Yiqin Zhao, Li Jia Qi",8.6,Series
A Little Thing Called First Love,Drama,"Teen TV Shows,Chinese TV Shows,Teen Romance","Wei Chai, Jin Mai Jaho, Bowen Wang, Kuan-lin Lai",8.0,Series
The Untamed,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Romance","TV Mysteries,Mainland Chinese TV Shows,TV Shows Based on Books,TV Action & Adventure,Chinese TV Shows,Fantasy TV Shows","Yibo Wang, Zhuocheng Wang, Zhan Xiao, Lu Xuan",8.9,Series
Daybreak,"Action, Adventure, Comedy, Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller","TV Comedies,US TV Shows,TV Horror,TV Action & Adventure,Teen TV Shows,TV Shows Based on Comics","Sophie Simnett, Austin Crute, Colin Ford, Alyvia Alyn Lind",6.7,Series
"Breakfast, Lunch and Dinner",Documentary,"Food & Travel TV,Docuseries,Social & Cultural Docs,US TV Shows,Lifestyle,Travel & Adventure Documentaries,Documentaries",Clarissa Dickson Wright,7.5,Series
The Gifted,"Drama, Fantasy, Mystery, Sci-Fi","TV Dramas,TV Sci-Fi & Fantasy,TV Shows Based on Books,Teen TV Shows,Thai TV Shows,Fantasy TV Programmes","Apichaya Thongkham, Ramida Jiranorraphat, Wachirawit Ruangwiwat, Korapat Kirdpan",8.4,Series
Love by Chance,Romance,"Romantic TV Shows,TV Shows Based on Books,TV Dramas,Thai TV Shows,Teen TV Shows,Teen Romance,Romantic TV Dramas","Suppapong Udomkaewkanjana, Tanapon Sukhumpantanasan",8.1,Series
Mighty Little Bheem: Diwali,Animation,"Indian TV Shows,Kids TV,TV Comedies,TV Cartoons",,7.0,Series
The Yard,"Crime, Drama","TV Dramas,Crime TV Shows,Crime TV Dramas,Social Issue TV Dramas","Ceren Moray, Demet Evgar, Çagdas Onur Öztürk, Nursel Köse",7.3,Series
Living with Yourself,"Comedy, Drama, Sci-Fi","US TV Shows,TV Dramas,TV Comedies","Aisling Bea, Karen Pittman, Paul Rudd, Desmin Borges",7.2,Series
Unnatural Selection,Documentary,"US TV Shows,Science & Nature TV,Documentaries,Social & Cultural Docs,Docuseries","Kevin Esvelt, David Ishee, Jackson Kennedy, Jeffrey Kahn",8.0,Series
Club 57,"Drama, Fantasy","Teen TV Shows,TV Soaps,Music & Musicals,US TV Shows","Estefany Oliveira, Sebastián Silva, Evaluna Montaner, Riccardo Frascari",7.9,Series
Theory of Love,"Drama, Romance","Thai TV Shows,TV Shows Based on Books,Teen Romance,Romantic TV Shows,TV Dramas,Teen TV Shows,Romantic TV Dramas","Jumpol Adulkittiporn, Chinnarat Siriphongchawalit, Atthaphan Phunsawat, Phumphothingam Nawat",7.9,Series
Second 20s,Drama,"Korean TV Shows,TV Comedies,Romantic TV Shows,Romantic TV Comedies","Sang-yoon Lee, Choi Wonyoung, Choi Ji-Woo, Min-Jae Kim",7.7,Series
Power Rangers Beast Morphers,"Action, Adventure, Drama, Sci-Fi, Thriller",Kids TV,"Abraham Rodriguez, Rorrie D. Travis, Jacqueline Scislowski, Jasmeet Baduwalia",6.9,Series
Grand Blue,"Animation, Adventure, Comedy, Drama","Anime Series,Anime Based on Comics,Sports Anime,Comedy Anime","Yuma Uchida, Hiroki Yasumoto, Katsuyuki Konishi, Ryohei Kimura",7.8,Series
A Year In Space,Documentary,"Docuseries,Science & Nature TV,Science & Nature Docs,Biographical Documentaries,Documentaries,US TV Shows","Jeffrey Kluger, Mikhail Kornienko, Amiko Kauderer, Scott Kelly",7.4,Series
Mimi and Lisa,"Animation, Short","TV Cartoons,Kids TV",,6.6,Series
Black Money Love,"Action, Crime, Drama, Mystery, Romance","TV Dramas,Crime TV Shows,Crime TV Dramas","Erkan Can, Damla Colbay, Engin Akyürek, Tuba Büyüküstün",7.3,Series
The Lies Within,"Drama, Mystery, Thriller","Political TV Shows,TV Dramas,Crime TV Shows,Korean TV Shows,Crime TV Dramas,TV Thrillers","Kim Yong Ji, Lee Min-ki, Joon-hyuk Lee, Yoo-Young Lee",6.8,Series
Ahiru no Sora,"Animation, Sport","Teen TV Shows,Anime Series,Drama Anime,Anime Based on Comics,School Anime,Sports Anime,Japanese TV Shows,Family Watch Together TV,TV Shows Based on Comics,Shounen Anime,TV Shows Based on Manga","Ned Gayle, Joe Daniels, Cameron Bautsch, Greg Cote",7.5,Series
Ascendance of a Bookworm,"Animation, Adventure, Comedy, Drama, Fantasy","Historical Anime,TV Sci-Fi & Fantasy,Sci-Fi & Fantasy Anime,Anime Series,Anime based on Light Novels","Reba Buhr, Lizzie Freeman, Bill Rogers, Yuka Iguchi",7.9,Series
Cautious Hero: The Hero Is Overpowered but Overly Cautious,"Animation, Action, Adventure, Comedy, Drama, Fantasy","Comedy Anime,TV Sci-Fi & Fantasy,Sci-Fi & Fantasy Anime,Action Anime,Anime Series,Anime based on Light Novels,Japanese TV Programmes","Anthony Bowling, Aki Toyosaki, Yuichiro Umehara, Jamie Marchi",7.4,Series
Rhythm + Flow,"Music, Reality-TV","US TV Shows,Reality TV,Competition Reality TV,Music & Musicals,Hip-Hop","Daniel Farris, 2'Live Bre, Troy Curry, Ivie Ani",7.7,Series
Fate/Grand Order Absolute Demonic Front: Babylonia,"Animation, Action, Drama, Fantasy, History","Action Anime,Anime based on a Video Game,Anime Series,Anime for Gamers,TV Sci-Fi & Fantasy,Sci-Fi & Fantasy Anime,Japanese TV Programmes","Ayako Kawasumi, Tomokazu Seki, Nobunaga Shimazaki, Rie Takahashi",7.3,Series
BEASTARS,"Animation, Crime, Drama, Fantasy, Mystery, Romance, Thriller","Anime Based on Comics,Anime Series,Drama Anime,Sci-Fi & Fantasy Anime,TV Sci-Fi & Fantasy,Japanese TV Shows,School Anime,Shounen Anime,TV Shows Based on Manga,Fantasy Anime","Sayaka Senbongi, Yuki Ono, Chikahiro Kobayashi, Fukushi Ochiai",7.8,Series
What Did You Eat Yesterday?,Family,"TV Dramas,TV Dramas Based on Comics,Romantic TV Shows,Japanese TV Series","Marin, Chan Kawai, Hayato Isomura, Meiko Kaji",7.8,Series
Legend Quest: Masters of Myth,Animation,"TV Cartoons,Kids TV,Mexican TV Shows,Latin American TV Shows","Johnny Rose, Oscar Cheda, Annemarie Blanco, Paul Tei",8.2,Series
My Country: The New Age,"Action, Drama, History, Romance","TV Dramas,Korean TV Shows,Political TV Shows,TV Action & Adventure,Period Pieces","Yang Se-Jong, Woo Do-Hwan, Jang Hyuk, Seol-Hyun Kim",8.3,Series
Raising Dion,"Drama, Sci-Fi","TV Action & Adventure,TV Shows Based on Comics,Kids TV,TV Dramas,TV Sci-Fi & Fantasy,Family Watch Together TV","Ja'Siah Young, Alisha Wainwright, Jason Ritter, Sammi Haney",7.2,Series
Seis Manos,"Animation, Action, Adventure, Crime, Drama, Fantasy","US TV Shows,Anime Series,Action Anime,Crime TV Shows,Fantasy Anime,Sci-Fi & Fantasy Anime","Mike Colter, Vic Chao, Jonny Cruz, Aislinn Derbez",7.2,Series
Living Undocumented,Documentary,"Political Documentaries,Documentaries,Docuseries,Political TV Shows,US TV Shows,Social & Cultural Docs",,6.6,Series
Oswaldo,,"Brazilian TV Shows,Kids TV,TV Cartoons,TV Comedies,Latin American TV Programmes","Nestor Chiesse, Tatiana de Marca, Pedro Eboli, Mabel Cezar",8.3,Series
Come and Hug Me,"Crime, Drama, Mystery, Romance","TV Dramas,Romantic TV Shows,Crime TV Shows,Korean TV Shows,Crime TV Dramas,Romantic TV Dramas","Ki-joo Jin, Jang Ki-Yong, Joon-ho Huh",8.1,Series
Digby Dragon,Animation,"Kids TV,British TV Shows,TV Cartoons","Rasmus Hardiker, Ainsley Howard, Lucy Montgomery, Clark Devlin",7.2,Series
Bad Papa,"Drama, Family","TV Dramas,Korean TV Shows","Lee Da-wit, Jang Hyuk, Man-sik Jeong, Kim Jaekyung",8.0,Series
Cheese in the Trap,"Comedy, Romance","TV Dramas,Korean TV Shows,Romantic TV Shows,Romantic TV Dramas,K-dramas based on Webtoon","Seo Kang-Joon, Nam Joo-Hyuk, Kim Go-eun, Park Hae-Jin",7.4,Series
The K2,"Drama, Romance, Thriller","Political TV Shows,Romantic TV Shows,TV Action & Adventure,TV Dramas,Korean TV Shows,Romantic TV Dramas","Jo Sung-ha, Im Yoon-ah, Song Yun-ah, Ji Chang-Wook",7.8,Series
Chicago Typewriter,"Drama, Fantasy, Romance","Romantic TV Shows,Korean TV Shows,TV Dramas,Romantic TV Dramas","Go Kyung-Pyo, Yoo Ah-In, Lim Soo-jung, Si-Yang Kwak",8.3,Series
College Romance,"Comedy, Drama, Romance","Hindi-Language TV Shows,Romantic TV Shows,TV Comedies,Indian TV Shows,TV Dramas,Romantic TV Comedies,Romantic TV Dramas","Manjot Singh, Gagan Arora, Apoorva Arora, Keshav Sadhna",8.9,Series
Tunnel,"Crime, Fantasy, Thriller","TV Thrillers,Korean TV Shows,Crime TV Shows","Kang Ki-Young, Choi Jin-Hyuk, Hyun-min Yoon, Hie-bong Jo",8.3,Series
The Liar and His Lover,"Music, Romance","TV Shows based on Manga,Korean TV Shows,TV Dramas,Romantic TV Shows,Romantic TV Dramas","Soo-Young Park, Seo-won Lee, Lee Jung-Jin, Hyun-Woo Lee",6.9,Series
Engineering Girls,"Comedy, Drama","TV Comedies,Hindi-Language TV Shows,Indian TV Shows","Barkha Singh, Kunal Aneja, Sejal Kumar, Kritika Avasthi",6.9,Series
Inmates,Comedy,"Hindi-Language TV Shows,TV Comedies,Indian TV Shows","Kashyap Kapoor, Raghav Raj Kakker, Ashish Verma, Mukti Mohan",6.6,Series
Girls Hostel,"Comedy, Drama","TV Dramas,Indian TV Shows,TV Comedies,Hindi-Language TV Shows","Parul Gulati, Simran Natekar, Ahsaas Channa, Srishti Shrivastava",8.2,Series
60 Days In,Reality-TV,"US TV Shows,Reality TV","Zachary Holland Baker, Dion Shepherd Jr., Monalisa Johnson, Tami Ferraiuolo",7.7,Series
Run with the Wind,"Animation, Comedy, Sport","Teen TV Shows,Shounen Anime,TV Shows Based on Books,Drama Anime,Anime Series,Sports Anime,Anime based on Books,Japanese TV Shows","Kelly Greenshield, Mike Haimoto",8.4,Series
The Loud House,"Animation, Action, Adventure, Comedy, Family, Fantasy, Thriller","Kids TV,TV Comedies,TV Cartoons","Grey Griffin, Jessica DiCicco, Catherine Taber, Lara Jill Miller",7.2,Series
Bard of Blood,"Action, Adventure, Drama, Thriller","TV Dramas,Hindi-Language TV Shows,TV Shows Based on Books,TV Thrillers,Indian TV Shows,TV Action & Adventure","Emraan Hashmi, Shishir Sharma, Sobhita Dhulipala, Jaideep Ahlawat",7.0,Series
Skylines,"Crime, Drama, Music","German TV Shows,Hip-Hop,TV Dramas,Crime TV Shows","Gia Bay, Peri Baumeister, Sahin Eryilmaz, Edin Hasanovic",7.6,Series
The Politician,"Comedy, Drama","US TV Shows,TV Comedies,Political TV Shows,Teen TV Shows","Lucy Boynton, Zoey Deutch, Ben Platt, Julia Schlaepfer",7.5,Series
Wotakoi: Love is Hard for Otaku,"Animation, Comedy, Romance","Comedy Anime,Romance Anime,Anime based on Comics,Romantic TV Shows,Anime Series","Tomokazu Sugita, Miyuki Sawashiro, Kent Ito, Arisa Date",7.6,Series
Vagabond,"Drama, Romance","TV Thrillers,TV Dramas,Korean TV Shows,TV Action & Adventure","Francis Balchère, Setti Ramdane, Jean-Louis Perletti, Sandrine Bonnaire",7.7,Series
Criminal: Germany,"Crime, Drama, Mystery","TV Dramas,German TV Shows,TV Thrillers,TV Mysteries,Crime TV Shows","Sylvester Groth, Florence Kasumba, Eva Meckbach, Christian Kuchenbuch",7.7,Series
Inside Bills Brain: Decoding Bill Gates,Documentary,"Biographical Documentaries,Science & Nature TV,Docuseries,Documentaries,Science & Nature Docs,US TV Shows","Davin Orness, Alex Bueermann",7.9,Series
Criminal: France,"Crime, Drama, Mystery","TV Dramas,French TV Shows,TV Mysteries,Crime TV Shows,TV Thrillers","Margot Bancilhon, Anne Azoulay, Laurent Lucas, Stéphane Jobert",7.2,Series
Criminal: Spain,"Crime, Drama, Mystery","TV Dramas,TV Mysteries,Crime TV Shows,TV Thrillers,Spanish TV Shows","Emma Suárez, Jorge Bosch, María Morales, Álvaro Cervantes",6.9,Series
Criminal: UK,"Crime, Drama, Thriller","TV Mysteries,TV Dramas,British TV Shows,Crime TV Shows,TV Thrillers","Shubham Saraf, Katherine Kelly, Lee Ingleby, Rochenda Sandall",7.6,Series
The Hockey Girls,"Drama, Sport","TV Dramas,Teen TV Shows,Spanish TV Shows,TV Comedies","Natàlia Barrientos, Dèlia Brufau, Iria del Río, Nora Navas",7.0,Series
When the Camellia Blooms,"Comedy, Drama, Romance, Thriller","TV Comedies,Romantic TV Shows,Korean TV Shows,TV Dramas,Romantic TV Dramas,Romantic Favorites","Kang Ha-Neul, Ji-seok Kim, Hyo-Jin Kong, Oh Jeong-Se",8.0,Series
Transformers: Cyberverse,"Animation, Action, Sci-Fi","Kids TV,TV Cartoons","Ryan Andes, Jake Foushee, Sophia Isabella, Jeremy Levy",6.8,Series
The Last Kids on Earth,"Animation, Adventure, Comedy, Family, Horror","Canadian TV Shows,Kids TV,TV Comedies,TV Shows Based on Books,TV Cartoons","Charles Demers, Nick Wolfhard, Montse Hernandez, Garland Whitt",7.5,Series
Pawn Stars,Reality-TV,"Reality TV,US TV Shows","Austin 'Chumlee' Russell, Rick Harrison, Corey Harrison, Richard Harrison",7.2,Series
The Universe,"Documentary, History","Docuseries,Science & Nature Docs,Family Watch Together TV,Documentaries,Science & Nature TV,US TV Shows,Nature & Ecology Documentaries","Alex Filippenko, Erik Thompson",8.7,Series
Ancient Aliens,Documentary,"US TV Shows,Docuseries,Science & Nature TV,Documentaries,Science & Nature Docs",,7.5,Series
The Curse of Oak Island,"Documentary, Reality-TV","Docuseries,Documentaries,US TV Shows,Science & Nature Docs,Science & Nature TV","Charles Barkhouse, Robert Clotworthy, Marty Lagina, Rick Lagina",7.0,Series
Intervention,"Short, Drama","Documentaries,Biographical Documentaries,Docuseries,US TV Shows","Tarri Markel, Peter Jason, Susanna Musotto, Tony Moras",8.6,Series
Surviving R. Kelly,"Documentary, Crime, Music","Hip-Hop,US TV Shows,Documentaries,Docuseries,True Crime Documentaries,Biographical Documentaries,Crime Documentaries","Tarana Burke, Candice Norcott, Andrea Kelly, Kathy Chaney",7.6,Series
Marianne,"Drama, Horror","French TV Shows,TV Horror,TV Dramas","Victoire Du Bois, Ralph Amoussou, Lucie Boujenah, Tiphaine Daviot",7.5,Series
Monarca,Drama,"TV Dramas,Mexican TV Shows,Latin American TV Shows","Juan Manuel Bernal, Irene Azuela, Osvaldo Benavides, Regina Pavón",8.0,Series
Unbelievable,"Crime, Drama","Crime TV Shows,US TV Shows,TV Dramas","Blake Ellis, Toni Collette, Kaitlyn Dever, Merritt Wever",8.4,Series
Top Boy,"Crime, Drama, Thriller",,"Shone Romulus, Kano, Micheal Ward, Ashley Walters",8.4,Series
"The Mind, Explained",Documentary,"Documentaries,US TV Shows,Science & Nature Docs,Science & Nature TV,Docuseries,Social & Cultural Docs",Emma Stone,8.0,Series
The I-Land,"Adventure, Drama, Mystery, Sci-Fi","TV Action & Adventure,TV Sci-Fi & Fantasy,Cyberpunk,US TV Shows,TV Dramas,TV Thrillers","Natalie Martinez, Sibylla Deen, Ronald Peet, Kate Bosworth",4.5,Series
Betty en NY,Comedy,"Mexican TV Shows,Romantic TV Shows,TV Comedies,Latin American TV Shows,Romantic TV Comedies","Sabrina Seara, Amaranta Ruiz, Erick Elias, Elyfer Torres",7.7,Series
The Bletchley Circle: San Francisco,"Crime, Drama, Mystery, Thriller","Political TV Shows,Crime TV Shows,Social Issue TV Dramas,TV Mysteries,TV Dramas,British TV Shows,Crime TV Dramas","Julie Graham, Rachael Stirling, Crystal Balint, Chanelle Peloso",6.9,Series
